windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry,"flag (0=possibilities, 1=error,2=ambiguous,3=perfect match)",proposed sector,which is larger?
che,Chemical products (325),325,Chemical products,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0,"Manufacture of chemicals and chemical products, pharmaceutical",windc
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B05,Mining of coal and lignite,0,"Mining, except oil & gas",windc
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B07,Mining of metal ores,0,"Mining, except oil & gas",windc
min,"Mining, except oil and gas (212)",212,"Mining, except oil and gas",B08,Other mining and quarrying,0,"Mining, except oil & gas",windc
pmt,Primary metals (331),331,Primary metals,C24A,Manufacture of basic iron and steel,0,primary metals,windc
pmt,Primary metals (331),331,Primary metals,C24B,Manufacture of basic precious and other non-ferrous metals,0,primary metals,windc
grd,Transit and ground passenger transportation (485),485,Transit and ground passenger transportation ,H49,Land transport and transport via pipelines,1,Land transport and transport via pipelines,oecd
leg,Legal services (5411),5411,Legal services,M,"Professional, scientific and technical activities",1,"Professional, scientific and technical activities",oecd
man,Management of companies and enterprises (55),55,Management of companies and enterprises,M,"Professional, scientific and technical activities",1,"Professional, scientific and technical activities",oecd
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C28,Manufacture of machinery and equipment n.e.c. ,1,Manufacture of machinery and equipment n.e.c. ,oecd
mvt,Motor vehicle and parts dealers (441),441,Motor vehicle and parts dealers,G,Wholesale and retail trade,1,"Wholesale and retail trade, stores",oecd
rnt,Rental and leasing services and lessors of intangible assets (532RL),532RL,Rental and leasing services and lessors of intangible assets,N,Administrative and support service activities,1,Other service activities,oecd
trk,Truck transportation (484),484,Truck transportation,H49,Land transport and transport via pipelines,1,Land transport and transport via pipelines,oecd
trn,Rail transportation (482),482,Rail transportation ,H49,Land transport and transport via pipelines,1,Land transport and transport via pipelines,oecd
wst,Waste management and remediation services (562),562,Waste management and remediation services,E,Water supply,1,"Electricity, gas, steam and air conditioning supply, and wasterwater",none
