build,origin,share_to_CA
g2.0,SD,0.12564904267652097
g2.0,TN,0.05833079135610549
g2.0,TX,0.13280284001359247
g2.0,UT,0.429698954739633
g2.0,VA,0.02643865203223078
g2.0,VT,0.014756124498848194
g2.0,WA,0.3963063818021775
g2.0,WI,0.08193441310082746
g2.0,WV,0.02026580832532619
g2.0,WY,0.0948838713911533
g2.5,AK,0.3459310643174915
g2.5,AL,0.0316805768869197
g2.5,AR,0.0694548452541053
g2.5,AZ,0.4068110292505837
g2.5,CA,0.0
g2.5,CO,0.2294426048674997
g2.5,CT,0.004260394876843256
g2.5,DC,0.009528480877438017
g2.5,DE,0.007159879275709317
g2.5,FL,0.04509576881712625
g2.5,GA,0.04006932037586636
g2.5,HI,0.44377328521006587
g2.5,IA,0.08490091442741537
g2.5,ID,0.6069900139894958
g2.5,IL,0.06327154667371765
g2.5,IN,0.035481539395408816
g2.5,KS,0.0670162111221898
g2.5,KY,0.033669943045790664
g2.5,LA,0.026636307487366742
g2.5,MA,0.00957781325670034
g2.5,MD,0.006161010165490865
g2.5,ME,0.02157415518624476
g2.5,MI,0.07230806564898563
g2.5,MN,0.1027918070541861
g2.5,MO,0.07178577790563898
g2.5,MS,0.03813264856562537
g2.5,MT,0.22965935584523503
g2.5,NC,0.03385156768420619
g2.5,ND,0.15715740839157014
g2.5,NE,0.0792374953888489
g2.5,NH,0.006830116413066234
g2.5,NJ,0.01087289365659194
g2.5,NM,0.19573826522092233
g2.5,NV,0.9125966091130843
g2.5,NY,0.01911601608539654
g2.5,OH,0.036117168643820696
g2.5,OK,0.07403275498029824
g2.5,OR,0.5232483602910565
g2.5,PA,0.019756371946403013
g2.5,RI,0.003397706781898803
g2.5,SC,0.03930134015725555
g2.5,SD,0.12129657091030116
g2.5,TN,0.05684988417946448
g2.5,TX,0.1442453167798017
g2.5,UT,0.48428843153739237
g2.5,VA,0.020616876549006593
g2.5,VT,0.008915123712916525
g2.5,WA,0.40806356828152507
g2.5,WI,0.08397780746272497
g2.5,WV,0.015911747266742913
g2.5,WY,0.08607005040490669
g3.0,AK,0.35956608308707433
g3.0,AL,0.02682973828279409
g3.0,AR,0.06446449319460229
g3.0,AZ,0.42439440508431586
g3.0,CA,0.0
g3.0,CO,0.23126532644327868
g3.0,CT,0.002459879577760166
g3.0,DC,0.008624502258740941
g3.0,DE,0.0046213401968955865
g3.0,FL,0.041354255674533706
g3.0,GA,0.03608202378418019
g3.0,HI,0.4632743753351752
g3.0,IA,0.08705520087440692
g3.0,ID,0.6480721118335143
g3.0,IL,0.06342677043158707
g3.0,IN,0.03251341396190975
g3.0,KS,0.06502000753431561
g3.0,KY,0.03010048124121646
