build,scope,origin,leader
g1.0,all_interm,RI,NY
g1.0,all_interm,SC,FL
g1.0,all_interm,SD,CA
g1.0,all_interm,TN,GA
g1.0,all_interm,TX,CA
g1.0,all_interm,UT,CA
g1.0,all_interm,VA,NY
g1.0,all_interm,VT,NY
g1.0,all_interm,WA,CA
g1.0,all_interm,WI,IL
g1.0,all_interm,WV,OH
g1.0,all_interm,WY,CA
g1.25,goods,AK,CA
g1.25,goods,AL,FL
g1.25,goods,AR,TX
g1.25,goods,AZ,CA
g1.25,goods,CA,TX
g1.25,goods,CO,CA
g1.25,goods,CT,NY
g1.25,goods,DC,MD
g1.25,goods,DE,PA
g1.25,goods,FL,GA
g1.25,goods,GA,FL
g1.25,goods,HI,CA
g1.25,goods,IA,IL
g1.25,goods,ID,CA
g1.25,goods,IL,IN
g1.25,goods,IN,MI
g1.25,goods,KS,TX
g1.25,goods,KY,IN
g1.25,goods,LA,FL
g1.25,goods,MA,NY
g1.25,goods,MD,PA
g1.25,goods,ME,NY
g1.25,goods,MI,OH
g1.25,goods,MN,CA
g1.25,goods,MO,IL
g1.25,goods,MS,TX
g1.25,goods,MT,CA
g1.25,goods,NC,VA
g1.25,goods,ND,CA
g1.25,goods,NE,TX
g1.25,goods,NH,MA
g1.25,goods,NJ,NY
g1.25,goods,NM,CA
g1.25,goods,NV,CA
g1.25,goods,NY,MA
g1.25,goods,OH,MI
g1.25,goods,OK,TX
g1.25,goods,OR,CA
g1.25,goods,PA,NY
g1.25,goods,RI,MA
g1.25,goods,SC,NC
g1.25,goods,SD,CA
g1.25,goods,TN,TX
g1.25,goods,TX,CA
g1.25,goods,UT,CA
g1.25,goods,VA,NC
g1.25,goods,VT,NY
g1.25,goods,WA,CA
g1.25,goods,WI,MI
g1.25,goods,WV,OH
g1.25,goods,WY,CO
g1.25,all_interm,AK,CA
g1.25,all_interm,AL,FL
g1.25,all_interm,AR,TX
g1.25,all_interm,AZ,CA
g1.25,all_interm,CA,NV
g1.25,all_interm,CO,CA
g1.25,all_interm,CT,NY
g1.25,all_interm,DC,MD
g1.25,all_interm,DE,NY
g1.25,all_interm,FL,GA
g1.25,all_interm,GA,FL
g1.25,all_interm,HI,CA
g1.25,all_interm,IA,IL
g1.25,all_interm,ID,CA
