build,model,scope,total_M$,tv_vs_gamma1,spearman_vs_gamma1,pearson_log_vs_gamma1,gini,top5_share,top5_share_of_gamma1_top5,max_abs_share_change_pp,argmax_share_change,top1
g2.5,Leontief,world,-38346.18969544581,0.0008714039227155098,1.0,0.999999295886157,0.7349945321390027,0.45890334970400964,0.45890334970400964,0.02957772561187344,CAN,CHN
g2.5,IIM,us_other,-324030.18883433123,0.29434341993774,0.914141656662665,0.9345634195715177,0.7635185214812786,0.6913334466589981,0.6748698642870993,13.474750838261409,NJ,NJ
g2.5,IIM,world,-68792.28535878606,0.0007681020075320896,1.0,0.9999994719842313,0.7335535676003235,0.45530940285883215,0.45530940285883215,0.028634485611739313,CAN,CHN
g2.5,Ghosh,us_other,-231682.84601178023,0.21409496816950166,0.9454501800720289,0.9617037524865808,0.6860260188907091,0.5471538484948419,0.5044045323886931,9.004842277492923,NJ,NJ
g2.5,Ghosh,world,-48933.83591994281,0.005050164977827856,0.9998359118612286,0.9999879189773736,0.7007361804677751,0.3800505131829113,0.3800505131829113,0.18491186030467344,CHN,CHN
g3.0,Leontief,us_other,-170608.72144083376,0.3316330854258337,0.8962785114045618,0.9161152140751214,0.782987695153017,0.7253544709571885,0.7057117005277906,15.615512052634484,NJ,NJ
g3.0,Leontief,world,-38426.42756059297,0.001120983862278404,0.9999765588373184,0.9999988593498251,0.7349872055720589,0.4588920288072237,0.4588920288072237,0.0398171207514314,CAN,CHN
g3.0,IIM,us_other,-320732.1586964678,0.3345143615446554,0.892436974789916,0.9150168808556527,0.7881089785163723,0.7310499687935701,0.7127763844966091,15.489471207154384,NJ,NJ
g3.0,IIM,world,-68891.11748335205,0.001017966566989546,1.0,0.9999990996721912,0.7335462137247282,0.45530256385532625,0.45530256385532625,0.038828294080792136,CAN,CHN
g3.0,Ghosh,us_other,-229229.05316659712,0.24325362617997245,0.9341176470588234,0.9529252601886758,0.7073761680408195,0.5778982107681647,0.5294591640731323,10.305694696141385,NJ,NJ
g3.0,Ghosh,world,-48951.079955603724,0.005628852142117741,0.9998359118612286,0.9999852609292706,0.7005708928280319,0.37981213493409605,0.37981213493409605,0.20456085822816023,CHN,CHN
scen_economic,Leontief,us_other,-184081.09359316152,0.1081576812291961,0.967154861944778,0.9754005582642397,0.54026085551957,0.38284417539649324,0.3707483801555042,4.067698384320484,NJ,CA
scen_economic,Leontief,world,-38038.43357869646,0.0008440699370702094,1.0,0.9999992443649106,0.7350153151693893,0.45900357858066093,0.45900357858066093,0.03195433259109426,CAN,CHN
scen_economic,IIM,us_other,-348698.25441414607,0.11750223716915338,0.9667707082833132,0.9733347821446479,0.5411238211489268,0.3826929369525376,0.3698948853622024,4.3558858033442505,NJ,CA
scen_economic,IIM,world,-68518.92546114276,0.0006479254542792207,1.0,0.9999996455895811,0.733578251123423,0.45536168147602246,0.45536168147602246,0.02667056767585163,CAN,CHN
scen_economic,Ghosh,us_other,-250483.96522489635,0.12115778154018476,0.9657142857142856,0.9704013999688568,0.5033955955291816,0.3464480419601124,0.3381341673886965,3.633811522375331,NJ,CA
scen_economic,Ghosh,world,-49239.72835471916,0.002288495186364793,0.9999062353492734,0.9999964784152825,0.7024646210506058,0.38249757398305456,0.3824975739830545,0.09607684455248955,CHN,CHN
scen_structured_rand,Leontief,us_other,-183459.8099436097,0.06474618710809567,0.9835774309723888,0.9888753165478227,0.5580922662263335,0.39785426504312704,0.3976575326650722,2.41953323895958,NJ,NJ
scen_structured_rand,Leontief,world,-38052.90449162107,0.0008087951956614551,1.0,0.9999993524255832,0.7350122907206895,0.4589778666656587,0.4589778666656587,0.0307879947271536,CAN,CHN
scen_structured_rand,IIM,us_other,-347314.533879154,0.06969219316786329,0.9854981992797118,0.9883042010069626,0.5599845433024936,0.39976365999366725,0.39976365999366725,2.57315057490826,NJ,NJ
scen_structured_rand,IIM,world,-68539.84320482617,0.0006392924571605765,1.0,0.9999996599736876,0.73357302084261,0.4553461234220126,0.4553461234220126,0.026148213550288013,CAN,CHN
scen_structured_rand,Ghosh,us_other,-249181.75865708574,0.08257280015460379,0.9813685474189676,0.9866420219364429,0.5159136430705195,0.35294513015963547,0.351444676746259,2.334215666186512,NJ,CA
scen_structured_rand,Ghosh,world,-49205.033219097415,0.001623290943113323,0.9999296765119551,0.999998178314635,0.7023169008994383,0.38227725723390954,0.38227725723390954,0.06662342383778191,CHN,CHN
scen_random_0,Leontief,us_other,-175772.01158440922,0.17885793727109972,0.97906362545018,0.9790640651887129,0.6817203924437787,0.5745232858529296,0.5719907417232015,8.120776766002214,NJ,NJ
scen_random_0,Leontief,world,-38085.64784846298,0.00023068086925793403,1.0,0.9999998107704339,0.73506305819848,0.4589330275923382,0.4589330275923382,0.009591403329411996,GBR,CHN
scen_random_0,IIM,us_other,-331556.452815267,0.1839184777615667,0.9763745498199279,0.9778893516597221,0.6891618162176437,0.5825226628302109,0.5812843803582443,8.207264938415701,NJ,NJ
scen_random_0,IIM,world,-68516.63153966014,0.00020635843335125767,1.0,0.9999999257623784,0.7336000264154571,0.4553156787400937,0.4553156787400937,0.01045621543812325,GBR,CHN
scen_random_0,Ghosh,us_other,-237785.74420277803,0.13863610564794984,0.9784873949579831,0.9854366753157374,0.6334835750817078,0.48046898229569146,0.46174938242554386,5.9700962639593875,NJ,NJ
scen_random_0,Ghosh,world,-49036.24146789073,0.0029887377394324697,0.9999531176746368,0.9999957884427984,0.7012216284928892,0.38071407965531534,0.38071407965531534,0.11001108690915362,CHN,CHN
scen_random_1,Leontief,us_other,-181913.64117444537,0.027092971751173832,0.9900120048019206,0.9962558065635451,0.5818535650884837,0.4360284010589893,0.4360284010589893,0.6549192039070242,PA,NJ
scen_random_1,Leontief,world,-37993.201957069876,0.00019595842863812823,1.0,0.9999998991203611,0.7349953579631289,0.4589544817463331,0.4589544817463331,0.007185758054770175,CHN,CHN
scen_random_1,IIM,us_other,-343969.07575408486,0.02877590407895068,0.9903961584633854,0.9959057484780036,0.5874358402692249,0.44423678450778253,0.4442367845077826,0.7514126441837978,PA,NJ
scen_random_1,IIM,world,-68478.79331190989,0.00019331510758805067,1.0,0.9999999396398211,0.733568830194391,0.45534736766679196,0.45534736766679196,0.0072985074666048755,CHN,CHN
scen_random_1,Ghosh,us_other,-245593.9334083441,0.02157579773675271,0.9936614645858344,0.9970940049766361,0.548757092547481,0.38689153021955935,0.38689153021955935,0.5939006362143964,CA,NJ
scen_random_1,Ghosh,world,-49086.71065887485,0.000266237193217771,1.0,0.9999999303065212,0.7020332036226824,0.38189197674049213,0.38189197674049213,0.010119312702518146,CHN,CHN
scen_random_2,Leontief,us_other,-180847.43284486834,0.061974094794914024,0.9956782713085233,0.9959552854367195,0.6186211837416347,0.48526903674896793,0.48526903674896793,2.9350005325544744,NJ,NJ
scen_random_2,Leontief,world,-38110.664307946194,0.0003674197147757219,1.0,0.9999998290681001,0.735060566090344,0.45907484701194834,0.45907484701194834,0.009910055737386014,CAN,CHN
scen_random_2,IIM,us_other,-341608.95774415013,0.06098292595350722,0.9955822328931572,0.9959948953125031,0.6216640770536589,0.4900364796721045,0.4900364796721045,2.899613645298549,NJ,NJ
scen_random_2,IIM,world,-68536.73216575405,0.0002471670638867944,1.0,0.999999918058519,0.7335919330022285,0.4554082484538474,0.4554082484538474,0.00949608538427793,CAN,CHN
scen_random_2,Ghosh,us_other,-242992.6858369976,0.03142433718904724,0.9975990396158463,0.9986039357359814,0.5711776471646477,0.4052108182157579,0.4052108182157579,1.6101785454339574,NJ,NJ
scen_random_2,Ghosh,world,-48948.793406838464,0.000954637693728016,0.9999765588373184,0.9999996471389141,0.7017381303620049,0.3814960181331481,0.3814960181331481,0.03593363523051868,CAN,CHN
