sector,build,Leontief,IIM,Ghosh
"Manufacture of textiles, wearing apparel, leather and related products",g1.25,-183.21346421628272,-284.7987919091306,-532.8781202766656
Manufacture of wood and of products of wood and cork,g1.25,-1308.135660748434,-2063.150363580909,-682.9183024103083
"Mining, except oil & gas",g1.25,-974.6611280787938,-1846.9712797176094,-584.8944342381762
Oil and gas extraction,g1.25,-2425.691992095263,-4343.486429673616,-1168.6314461487723
Other services + wholesale/retail,g1.25,-14554.580874112531,-24942.255741154608,-30757.520492465468
"Professional, scientific and technical activities",g1.25,-25220.344419007255,-49673.44892764862,-18162.324782606367
Real estate activities,g1.25,-15845.419487036917,-28664.288218691865,-23167.166969974976
Support activities for mining,g1.25,-216.1126364752584,-391.6958244819261,-880.0637136082036
T,g1.25,0.0,0.0,0.0
Warehousing and support activities for transportation,g1.25,-4907.9052256231,-9494.224990752917,-2850.449327738698
Water transport,g1.25,-261.8065867336256,-475.66344632503484,-611.9717222821664
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g1.25,-18432.929190096213,-39019.34500876169,-16551.11057407321
primary metals,g1.25,-1773.335662309754,-3710.6430556737955,-1842.8068153106497
Accommodation and food service activities,g1.5,-2311.4576315646736,-4455.957895428106,-7551.230147080227
Administrative and support service activities,g1.5,-15119.187177992288,-30202.042153857215,-8424.84397920333
"Agriculture, hunting, forestry, fishing and related",g1.5,-2438.438910190601,-3481.020441106855,-2234.2608469332863
Air transport,g1.5,-1000.0444418188671,-2003.871957473124,-971.8677238984898
"Arts, entertainment and recreation activities",g1.5,-1132.6189852597709,-2265.808470044778,-2133.9510494269516
Construction,g1.5,-2022.392442499396,-3547.792756736126,-8292.90437490506
Education and public administration,g1.5,-9470.746731533529,-16285.214595021602,-22598.616361000437
"Electricity, gas, steam and air conditioning supply, and wasterwater",g1.5,-3021.8195265747177,-5287.819001287247,-3617.3621886010305
Financial and insurance activities,g1.5,-26290.86354134723,-56105.35727674857,-38865.21706543538
Human health and social work activities,g1.5,-2194.0338857148786,-2465.7602957857293,-16570.240339258777
Land transport and transport via pipelines,g1.5,-3347.352042352957,-5910.265740148409,-3877.0098841327344
"Manufacture of chemicals and chemical products, pharmaceutical",g1.5,-4462.41717058038,-8053.937809778425,-5188.2449180675685
Manufacture of coke and refined petroleum products,g1.5,-4525.575861649574,-8133.651112971503,-1292.5793156884502
"Manufacture of computer, electronic and optical products",g1.5,-857.587725593568,-1604.6475284852813,-1273.4947160867696
Manufacture of electrical equipment,g1.5,-429.95184450377064,-705.2531122625461,-819.1410836246215
Manufacture of fabricated metal products,g1.5,-3090.4298979102796,-5183.593352747148,-2913.33330964702
Manufacture of food and beverage and tobacco products,g1.5,-1620.035455050921,-2208.82908577007,-6931.895040342894
Manufacture of furniture,g1.5,-2186.423580104979,-2837.657093198914,-1819.723355509757
Manufacture of machinery and equipment n.e.c. ,g1.5,-901.2332408648856,-1508.7731754038712,-2471.4254121739395
"Manufacture of motor vehicles, trailers and semi-trailers",g1.5,-1095.6641134844083,-1930.1989193996333,-4668.848241335445
Manufacture of other non-metallic mineral products,g1.5,-1342.232008124921,-2178.1986962996643,-874.4856499347809
Manufacture of other transport equipment,g1.5,-825.6263210456494,-1230.4852006814,-1880.847366968711
Manufacture of paper and paper products,g1.5,-2508.846794086391,-4835.612274832078,-2088.7639870491166
Manufacture of rubber and plastic products,g1.5,-1805.0352871083876,-2995.804832506218,-1979.5432236372044
"Manufacture of textiles, wearing apparel, leather and related products",g1.5,-182.82497993898608,-283.88828771022673,-527.398955931105
Manufacture of wood and of products of wood and cork,g1.5,-1306.224524376693,-2059.023109487487,-648.3912825072595
"Mining, except oil & gas",g1.5,-975.0079015698849,-1846.2590873863687,-554.8598869601982
Oil and gas extraction,g1.5,-2429.8062058317364,-4347.2760508396095,-1112.786151692208
Other services + wholesale/retail,g1.5,-14450.793271520597,-24729.1583600379,-30401.113937958187
"Professional, scientific and technical activities",g1.5,-24985.410686659732,-49176.85886432019,-18289.213463699438
Real estate activities,g1.5,-15710.324857356138,-28386.798774215273,-23088.047724633932
Support activities for mining,g1.5,-216.60616816708188,-392.2653031664123,-855.4673580998971
T,g1.5,0.0,0.0,0.0
Warehousing and support activities for transportation,g1.5,-4886.544690563416,-9442.831255985666,-2799.0308902114148
Water transport,g1.5,-261.0820528091612,-473.85599274504824,-615.1596090515253
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g1.5,-18195.654438464593,-38509.78361673651,-16463.73931822346
primary metals,g1.5,-1770.6301405705253,-3702.5216321783414,-1789.502587173877
Accommodation and food service activities,g2.0,-2264.283984585338,-4359.728079941258,-7343.339868194471
Administrative and support service activities,g2.0,-14801.937280210937,-29547.270717405372,-8208.166811070974
"Agriculture, hunting, forestry, fishing and related",g2.0,-2448.3857643445153,-3482.15954085313,-1936.5905070826648
Air transport,g2.0,-981.0612788744027,-1964.4600754992734,-914.8739600816915
"Arts, entertainment and recreation activities",g2.0,-1104.2518441123887,-2205.4410106025384,-2111.58693502719
Construction,g2.0,-1986.0245596502439,-3475.422521671839,-8020.41688230574
Education and public administration,g2.0,-9429.837659412433,-16182.711990016953,-21924.204708796973
"Electricity, gas, steam and air conditioning supply, and wasterwater",g2.0,-2991.8635637804337,-5223.906103221337,-3557.235311256264
Financial and insurance activities,g2.0,-25623.35786651843,-54697.927254992166,-39278.82064808514
Human health and social work activities,g2.0,-2185.5067966451543,-2453.741838563159,-16600.02075655699
Land transport and transport via pipelines,g2.0,-3334.4635136509687,-5875.369312727403,-3702.3122178496433
"Manufacture of chemicals and chemical products, pharmaceutical",g2.0,-4416.0486103511785,-7957.312928365674,-5207.307043425138
Manufacture of coke and refined petroleum products,g2.0,-4537.7105198065165,-8143.458085334385,-1173.4792038658334
"Manufacture of computer, electronic and optical products",g2.0,-848.1824834219092,-1583.719489117733,-1278.5082199075982
Manufacture of electrical equipment,g2.0,-428.6602410926607,-701.9952122641446,-812.9598942466534
Manufacture of fabricated metal products,g2.0,-3070.004651861851,-5140.938008936436,-2912.026701532273
Manufacture of food and beverage and tobacco products,g2.0,-1614.5699913151661,-2193.6776257966976,-6360.213363595549
Manufacture of furniture,g2.0,-2190.550529422871,-2842.021103301454,-1826.882077242716
Manufacture of machinery and equipment n.e.c. ,g2.0,-892.5586391047881,-1490.7872112828916,-2362.06359561051
"Manufacture of motor vehicles, trailers and semi-trailers",g2.0,-1095.2742291465288,-1923.7390672655736,-4129.978813202891
Manufacture of other non-metallic mineral products,g2.0,-1328.4593085463755,-2152.0601367845165,-821.5712712867597
Manufacture of other transport equipment,g2.0,-819.017989328957,-1218.5480949660798,-1858.4942015466982
Manufacture of paper and paper products,g2.0,-2482.969090579646,-4778.2026724765565,-2027.5173316274595
Manufacture of rubber and plastic products,g2.0,-1787.7074466549486,-2960.42210533186,-1904.1675970744373
"Manufacture of textiles, wearing apparel, leather and related products",g2.0,-181.9240993876879,-281.94956008212455,-511.1257385940855
Manufacture of wood and of products of wood and cork,g2.0,-1302.9464667591878,-2051.7582451663798,-589.5326149134619
"Mining, except oil & gas",g2.0,-976.2299834783604,-1846.0960545494345,-507.7355176576279
Oil and gas extraction,g2.0,-2444.867475274123,-4367.889784038329,-1034.8324829557916
Other services + wholesale/retail,g2.0,-14237.619384505273,-24300.717952846702,-29774.97194640811
"Professional, scientific and technical activities",g2.0,-24508.855414772468,-48184.19438193321,-18443.06638896334
Real estate activities,g2.0,-15424.620294019467,-27810.391760290815,-22936.449712974296
Support activities for mining,g2.0,-218.44104428918743,-394.98665125235146,-826.1442074257247
T,g2.0,0.0,0.0,0.0
Warehousing and support activities for transportation,g2.0,-4838.48805379314,-9333.381892699019,-2706.490864896792
Water transport,g2.0,-259.586494214205,-470.2570753419755,-620.6828866793838
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g2.0,-17740.92020762663,-37542.61486182628,-16354.28235589767
primary metals,g2.0,-1767.539554234032,-3691.931111438362,-1682.9250708500738
Accommodation and food service activities,g2.5,-2223.4503141704236,-4277.326400122236,-7220.10125236245
Administrative and support service activities,g2.5,-14527.026933360237,-28986.39683214661,-8044.746519762837
"Agriculture, hunting, forestry, fishing and related",g2.5,-2456.405275924248,-3485.002590801297,-1738.3795179030146
