region,build,Leontief,IIM,Ghosh
CYP,g1.5,-11.766924910781013,-24.093129890668767,-32.96727063916073
CZE,g1.5,-100.07900295843322,-179.37539093267452,-165.72289328211167
DC,g1.5,-1699.0256884885218,-3322.8995710373315,-2400.3582254910602
DE,g1.5,-1765.846306408805,-3538.440368610353,-1699.746604030422
DEU,g1.5,-2122.016904256904,-3929.029517098157,-2994.058858522414
DNK,g1.5,-212.94442416730445,-390.0410683693455,-207.8368206278765
EGY,g1.5,-32.81779912101542,-61.42499585754296,-86.78340907485058
ESP,g1.5,-469.74028497935734,-846.8131183381856,-559.6653820062319
EST,g1.5,-17.630091813351303,-32.79140336643865,-16.80088168864783
FIN,g1.5,-128.50777808996034,-235.557180958669,-227.32893755957974
FL,g1.5,-5006.750974550844,-9427.839364249074,-10017.310207037135
FRA,g1.5,-940.6614182791913,-1669.6368388487022,-1614.3291452156138
GA,g1.5,-3597.4822381385156,-6825.798004016158,-6024.089408059344
GBR,g1.5,-2331.01938163011,-4641.618135598252,-2533.255432018063
GRC,g1.5,-107.63573129769375,-202.97353600787824,-115.2192544854132
HI,g1.5,-588.3839689527962,-1093.140440945297,-1125.5774581472158
HKG,g1.5,-238.68561455198844,-484.19565240072086,-334.5680037591145
HRV,g1.5,-10.893371008479223,-19.627629180253653,-23.809216606687894
HUN,g1.5,-76.18258840318376,-137.70926800495903,-138.2768416918376
IA,g1.5,-1069.1414903476777,-1923.9779625134076,-1635.6415702347435
ID,g1.5,-210.5149109368912,-368.1423828829521,-403.2680498402877
IDN,g1.5,-281.71050430371037,-466.85233889413826,-297.36391069276016
IL,g1.5,-4580.203610976914,-8589.892789880058,-7362.082333252719
IN,g1.5,-2932.315176798148,-5354.476277660635,-4507.076319656782
IND,g1.5,-1734.1106588499995,-3203.4922280258556,-1084.507370277997
IRL,g1.5,-674.1946418213029,-1260.1779450249421,-2916.4015153079513
ISL,g1.5,-22.285184527233476,-37.304111266663035,-24.980745637560766
ISR,g1.5,-342.011050444504,-620.0159846923145,-393.44582950099954
ITA,g1.5,-696.6713439420406,-1197.426933611978,-877.7473808683693
JOR,g1.5,-10.019658223101418,-18.548243271432707,-23.91975551294267
JPN,g1.5,-1764.5741564278624,-3173.627255007206,-3015.010030216011
KAZ,g1.5,-46.37064966046496,-84.79974065875217,-54.99607579314139
KHM,g1.5,-7.10900910688181,-11.94424740695585,-5.0955629815038765
KOR,g1.5,-1145.0990965145795,-2034.1788739676374,-1800.591959211612
KS,g1.5,-869.4343302063301,-1574.6634949912454,-1403.558271822948
KY,g1.5,-1601.9562786904428,-2949.9111339440406,-2772.104858539514
LA,g1.5,-1571.4394913120727,-2859.69452885991,-1983.9767292154363
LAO,g1.5,-2.18366910120933,-3.735880522831512,-1.5759521334677762
LTU,g1.5,-26.15032323246448,-46.234407519612226,-18.912714394665432
LUX,g1.5,-139.96745163162586,-285.9481269590607,-474.6935369433068
LVA,g1.5,-10.143096602086263,-18.182231203372442,-16.813498461127868
MA,g1.5,-23376.913322383178,-44997.55884613794,-25973.622542939782
MAR,g1.5,-29.699878463934382,-53.92026966958276,-50.870848554866065
MD,g1.5,-5339.341856620541,-10138.915179592332,-7924.042860700929
ME,g1.5,-1942.749280681451,-3580.0679234576332,-2484.4102118517976
MEX,g1.5,-2099.4222106439065,-3643.3721485812657,-2746.71986728015
MI,g1.5,-4470.432340887597,-8254.696997103434,-8340.521626542539
MLT,g1.5,-21.75108346974931,-44.41393295427284,-54.66568399010427
MMR,g1.5,-11.682984550312728,-17.670918647995748,-14.725472499851975
MN,g1.5,-2343.3108077035777,-4256.335097076238,-3653.727403295911
MO,g1.5,-1462.7104607020983,-2714.369609817263,-2713.728453025146
MS,g1.5,-607.2410704225845,-1096.0932668819064,-1089.0251828089663
MT,g1.5,-304.28237388023786,-544.438465247237,-350.397881488443
MYS,g1.5,-309.1001697986863,-550.7648360835241,-503.74930653428385
NC,g1.5,-6113.758648296622,-11367.769677801178,-8823.282704385927
ND,g1.5,-380.2731813506935,-665.2491812589993,-590.7615819963895
NE,g1.5,-644.878307749903,-1145.9551202843993,-973.5625019508545
NGA,g1.5,-149.69561193360644,-275.93206022487624,-110.38711067899753
NH,g1.5,-3801.4456624991767,-7140.796716892226,-4387.41539572947
NJ,g1.5,-17036.82803659634,-32290.809267207795,-19193.175361312067
NLD,g1.5,-535.1792833029252,-992.7165896548172,-1377.4151516888699
NM,g1.5,-448.9140353343372,-822.0521618111001,-710.0764173793775
NOR,g1.5,-237.4948400188276,-407.9569069118524,-247.0643043080068
NV,g1.5,-323.1048506717203,-615.8815593398784,-610.2562877114286
NY,g1.5,-530042.9661279677,-968202.4806301018,-577293.0182967647
NZL,g1.5,-67.13816681998519,-112.82393907499451,-152.82179946550465
OH,g1.5,-6954.697230236758,-13015.859117212318,-9949.04978126939
OK,g1.5,-1208.0135926670266,-2179.629039003034,-1516.2668412949156
OR,g1.5,-453.1053411301048,-829.5381225853905,-954.2216454503638
PA,g1.5,-17026.748711068325,-32191.60331790385,-20023.364142051592
PAK,g1.5,-46.90275760661937,-82.29188040072442,-58.783788107430645
PER,g1.5,-103.72851364456719,-188.74366717707483,-238.6150385578056
PHL,g1.5,-215.1246781616089,-400.2585987867025,-197.87071746913372
POL,g1.5,-189.83923125540605,-341.6326745965032,-301.91586247835147
PRT,g1.5,-91.2226552346289,-162.03883210612955,-77.6543956730419
RI,g1.5,-1986.364228392165,-3735.9837330205874,-2213.7577150842767
ROU,g1.5,-60.945331220838604,-111.0115068645858,-172.93648637874912
ROW,g1.5,-1897.1006810690883,-3422.5575262479015,-2462.6208887607927
RUS,g1.5,-680.8025403105942,-1245.327420538542,-584.3977813349295
SAU,g1.5,-416.3004966868173,-769.205125905982,-385.35937704721084
SC,g1.5,-1667.5839317449677,-3074.002049550502,-2769.3973510278843
SD,g1.5,-352.760695838033,-627.7325290658613,-541.3689461798525
SEN,g1.5,-2.507230880360765,-4.2033330272029,-4.740247015661595
SGP,g1.5,-685.2229665628628,-1295.6246137228036,-1420.0981055655038
STP,g1.5,-0.07671820363138368,-0.15907257980982767,-0.09505084227348364
SVK,g1.5,-40.09555871552145,-71.01912037622938,-57.650210565326745
SVN,g1.5,-16.356221999556794,-29.01286428340413,-25.24564410147997
SWE,g1.5,-242.62950290429106,-441.82386363300003,-493.6636347624488
THA,g1.5,-339.0275787599689,-566.719578975894,-611.2753267019615
TN,g1.5,-2238.0542994788134,-4150.671692999187,-4063.828956782244
TUN,g1.5,-9.874497513942176,-17.894045955608654,-16.012964886948293
TUR,g1.5,-210.06472106148362,-368.2443297698949,-372.60222792058
TWN,g1.5,-644.1073510796593,-1121.9944218115045,-770.726033276946
TX,g1.5,-7644.897261210413,-14076.557649691442,-15145.911953161294
UKR,g1.5,-35.6368827404206,-66.93249718415383,-85.32127561895437
UT,g1.5,-656.7778516064919,-1225.9286866138468,-1214.4568717214358
VA,g1.5,-7204.098125739484,-13502.11642806129,-9834.785246206395
VNM,g1.5,-343.9610604231023,-558.7979654194489,-435.3208563964841
VT,g1.5,-1449.4955504595061,-2651.5273424372035,-1892.7698941191602
WA,g1.5,-1410.370913388327,-2652.9728511779663,-2644.342964494616
WI,g1.5,-2219.5883553777257,-4047.8374770581227,-3478.9098577007553
WV,g1.5,-723.3704716933904,-1335.1443182150667,-1047.5106609911893
WY,g1.5,-294.84083943609426,-538.9032388949712,-270.3465915215236
ZAF,g1.5,-136.6998109268324,-254.80591885096518,-200.35988635608035
AGO,g2.0,-111.19283021365827,-205.51675297872777,-45.4593968853125
AK,g2.0,-324.21618897926766,-590.5268031088808,-487.0492327676144
AL,g2.0,-721.2821411658281,-1317.456214771117,-1411.3571770563026
AR,g2.0,-429.50645045875507,-766.3075754739182,-871.1029995286696
ARE,g2.0,-205.6422643452619,-394.2868800593926,-779.9123055885836
ARG,g2.0,-123.99443649041746,-226.8501804884808,-285.74626870960395
AUS,g2.0,-271.37447196245864,-482.4144014784651,-776.246984375543
AUT,g2.0,-185.56484614378425,-331.78076190805683,-237.76522962570112
AZ,g2.0,-724.3638511249188,-1349.7794582229417,-1565.232397960291
BEL,g2.0,-528.7596554750224,-997.7573349307338,-775.2894900838426
BGD,g2.0,-20.066169258780718,-34.08398187696367,-50.61613495344189
BGR,g2.0,-21.126897601016296,-38.48585420431778,-28.07697669687771
BLR,g2.0,-17.55394627598173,-32.42958651428723,-16.83383561829449
BRA,g2.0,-740.361303186395,-1336.7477630098676,-1287.0800309607307
BRN,g2.0,-3.7104961700624326,-6.721139286104158,-3.4293263652183326
CA,g2.0,-7647.303175351802,-14958.177074797637,-12443.263996168029
CAN,g2.0,-4166.234940568447,-7570.880732199153,-4213.754473263466
CHE,g2.0,-833.1101221289878,-1619.7940875358393,-1018.1221081362381
CHL,g2.0,-158.0893431020211,-263.87127380493513,-207.4947058389199
CHN,g2.0,-6748.35351825915,-11388.039001403753,-6324.581781590798
CIV,g2.0,-14.25035123276406,-21.454204190755217,-13.03921038435496
CMR,g2.0,-7.738701616689328,-13.941422724018377,-8.150499667591419
CO,g2.0,-1024.6551724459905,-1889.4398322814657,-1982.137642456257
COD,g2.0,-8.078202489762525,-14.284170564762254,-40.00470634211634
COL,g2.0,-233.36027650052154,-423.561851777829,-311.7525354233694
CRI,g2.0,-49.75808962826355,-81.21737954743668,-92.96080662494231
CT,g2.0,-21087.994498239186,-40805.18154098018,-20666.87639620411
